echo_duration_ms,signal_amplitude,distance_cm,distance_delta,angular_velocity,echo_count,noise_ratio,doppler_shift_hz,object_class,object_name,is_moving
5.2441,0.1869,89.41,54.7788,0.0189,4,0.1667,0.0188,4,Debris,0
5.5244,0.3655,94.59,62.3445,0.5269,4,0.0769,-0.6779,3,Diver,1
8.3114,0.1474,141.92,37.8923,1.8949,4,0.1865,-2.4373,0,Fish School,1
10.7537,0.4093,184.18,83.6663,0.046,1,0.0663,0.015,1,Rock/Reef,0
3.9855,0.1494,67.9,-50.3286,0.034,5,0.2962,-0.007,4,Debris,0
7.5747,0.6754,130.56,-56.6748,0.0174,1,0.06,-0.2004,1,Rock/Reef,0
4.1507,0.4076,70.94,-84.03,0.014,7,0.2951,-0.116,4,Debris,0
8.1898,0.4972,140.56,61.3683,0.0417,1,0.0538,0.0251,1,Rock/Reef,0
3.8778,0.4382,66.24,-40.2329,0.0374,8,0.1592,-0.1366,4,Debris,0
7.3026,0.268,124.88,37.8099,0.7504,3,0.0815,0.798,3,Diver,1
3.452,0.4557,59.83,29.7927,1.9445,3,0.0537,2.5109,5,Marine Mammal,1
9.9235,0.4116,170.76,-1.21,3.9678,3,0.0755,-4.8913,5,Marine Mammal,1
3.8427,0.7633,66.1,-92.1865,0.0359,1,0.0605,-0.0411,1,Rock/Reef,0
4.2012,0.4328,71.6,-65.3578,4.0565,2,0.0533,4.5207,5,Marine Mammal,1
7.9831,0.3773,136.45,-16.5442,3.8999,3,0.0936,5.1058,5,Marine Mammal,1
2.0291,0.5979,34.76,-29.669,0.0018,3,0.1542,0.114,3,Diver,0
7.1131,0.3715,121.94,-18.7006,1.775,5,0.126,-2.3458,0,Fish School,1
4.4096,0.3804,76.65,-64.4055,1.1713,2,0.1109,-1.5685,5,Marine Mammal,1
4.8022,0.4843,82.15,-37.7539,1.216,3,0.1699,1.4321,3,Diver,1
9.9082,0.4573,169.84,81.098,0.022,1,0.0235,-0.0683,1,Rock/Reef,0
6.1649,0.2493,104.97,8.2267,2.7358,4,0.1833,-3.2329,0,Fish School,1
3.303,0.3377,56.86,-49.2769,1.9785,7,0.1186,2.3106,0,Fish School,1
1.9396,0.4771,33.29,-48.9352,1.5215,2,0.1049,1.7337,3,Diver,1
8.7476,0.478,150.05,85.6724,0.0587,1,0.0588,-0.0248,1,Rock/Reef,0
5.8798,0.6909,100.59,-54.8094,5.3658,1,0.0841,6.4993,2,Submarine,1
5.9336,0.4048,101.61,2.0439,3.6922,2,0.0734,-4.2164,5,Marine Mammal,1
8.2882,0.338,142.11,53.3833,5.0523,3,0.1073,6.1596,5,Marine Mammal,1
7.5176,0.6633,128.49,23.8882,0.0104,1,0.0601,0.1211,1,Rock/Reef,0
6.2941,0.5536,107.28,-66.2047,0.0574,1,0.047,-0.1685,1,Rock/Reef,0
7.7125,0.1944,132.28,73.6813,0.0129,3,0.2315,-0.1632,4,Debris,0
3.0884,0.8286,52.83,-62.8655,0.0088,1,0.0327,0.0142,1,Rock/Reef,0
6.7025,0.3922,114.63,-34.7088,3.1385,3,0.1089,-3.7949,5,Marine Mammal,1
6.8932,0.4866,118.23,47.9572,0.0249,3,0.2451,0.1414,4,Debris,0
2.6075,0.8063,44.88,-50.8913,0.07,1,0.0204,0.059,2,Submarine,0
5.9233,0.2438,102.57,-5.3847,0.0157,6,0.2226,0.0458,4,Debris,0
6.9324,0.6966,119.0,-63.5425,2.0509,1,0.0665,-2.5064,2,Submarine,1
6.1099,0.3345,104.34,79.9727,0.0585,3,0.1087,-0.1156,3,Diver,0
2.3912,0.2751,40.91,9.8568,1.9888,3,0.1094,2.3999,0,Fish School,1
4.3956,0.455,75.38,-33.8954,0.0012,3,0.07,0.1438,3,Diver,0
7.4365,0.5011,126.81,71.8592,2.1077,3,0.052,2.8273,5,Marine Mammal,1
9.1783,0.1121,156.9,66.2945,0.0143,6,0.1422,0.0126,4,Debris,0
7.8363,0.1549,134.18,88.2228,0.7493,5,0.1562,0.8379,4,Debris,1
4.9439,0.5433,84.84,66.3077,1.4997,3,0.0966,1.814,3,Diver,1
3.1332,0.3597,53.96,16.8417,1.6838,4,0.0791,2.0614,3,Diver,1
8.4249,0.6297,144.61,-21.6978,5.3336,1,0.0868,-6.6739,2,Submarine,1
9.5055,0.4947,162.91,22.5102,4.4025,3,0.0988,5.426,5,Marine Mammal,1
10.6421,0.5069,182.54,86.332,6.5371,1,0.0886,7.9826,2,Submarine,1
6.3449,0.2709,109.01,-16.9739,0.0421,2,0.1098,-0.1195,3,Diver,0
4.5471,0.2032,77.96,43.9416,0.0238,3,0.1359,-0.1372,4,Debris,0
3.3223,0.3209,57.16,1.7405,1.8705,3,0.0714,2.3859,3,Diver,1
5.3767,0.6454,93.07,-1.4257,1.6826,2,0.107,2.089,5,Marine Mammal,1
6.9465,0.5039,119.05,-4.2558,0.0092,3,0.0718,-0.1992,5,Marine Mammal,0
5.743,0.2001,99.05,-20.8628,2.8821,7,0.127,-3.4155,0,Fish School,1
10.1065,0.5834,173.53,125.9834,5.569,1,0.026,-6.8374,2,Submarine,1
1.8886,0.6717,32.23,-27.5358,1.7053,4,0.1761,1.6569,3,Diver,1
8.6407,0.3768,147.78,38.9379,2.176,3,0.126,-2.4388,5,Marine Mammal,1
10.9974,0.5164,188.27,13.2786,0.0382,1,0.05,-0.0411,1,Rock/Reef,0
5.4189,0.1221,93.46,-55.2715,0.4146,5,0.1924,0.4797,4,Debris,1
1.1609,0.4195,19.63,-20.6959,0.4141,3,0.1294,0.4772,3,Diver,1
3.5108,0.8719,59.97,-36.2153,0.0219,1,0.0881,-0.0516,2,Submarine,0
8.3438,0.5595,143.02,72.4651,0.0207,1,0.0657,0.0963,2,Submarine,0
10.1967,0.2666,174.53,68.7451,1.1478,3,0.0966,1.3314,5,Marine Mammal,1
5.3354,0.4859,92.6,-23.7185,1.5536,3,0.1168,2.0263,3,Diver,1
2.5748,0.1767,44.23,-59.4865,0.0101,8,0.258,-0.1474,4,Debris,0
6.9534,0.4983,118.93,-15.2905,1.2012,3,0.0567,-1.8488,5,Marine Mammal,1
8.2567,0.2412,142.03,60.2421,0.8559,6,0.1637,0.975,4,Debris,1
8.5646,0.6194,146.46,-0.1451,6.3098,1,0.0631,7.5057,2,Submarine,1
6.8376,0.558,116.9,43.1527,3.4731,3,0.1004,4.4245,5,Marine Mammal,1
2.1186,0.7412,36.39,-136.0547,2.7054,2,0.0717,3.0388,5,Marine Mammal,1
4.6404,0.7005,79.61,-70.2149,0.0122,1,0.0666,0.1163,2,Submarine,0
6.5036,0.4195,111.74,65.9581,1.4009,2,0.1246,-1.6211,5,Marine Mammal,1
7.2367,0.5226,124.61,0.1744,0.0022,1,0.0283,0.0716,1,Rock/Reef,0
2.0095,0.4045,34.41,-37.3614,0.0444,8,0.1315,-0.1215,4,Debris,0
6.6728,0.672,114.81,-36.5898,0.0347,1,0.0366,-0.0427,2,Submarine,0
4.695,0.3393,80.16,-49.4018,1.7328,3,0.0765,-2.1498,3,Diver,1
5.7661,0.5287,99.17,50.4727,3.7352,3,0.0492,4.3771,5,Marine Mammal,1
6.0251,0.4138,102.59,83.8728,1.0905,2,0.1169,1.4147,3,Diver,1
2.1362,0.6076,36.97,-87.9119,1.3324,3,0.1725,1.7869,3,Diver,1
4.6076,0.7039,80.17,31.6672,5.8016,1,0.0605,6.9551,2,Submarine,1
4.9141,0.6275,84.24,18.9915,3.6389,2,0.0996,4.5823,5,Marine Mammal,1
4.4232,0.2957,76.52,-72.3985,0.0374,6,0.1871,-0.2344,4,Debris,0
8.5543,0.2502,146.57,82.5537,2.348,3,0.1269,-3.3512,0,Fish School,1
7.355,0.5954,126.02,7.7435,0.007,1,0.035,0.0868,1,Rock/Reef,0
6.1124,0.6586,104.55,-92.7414,2.8855,1,0.0822,-3.3949,2,Submarine,1
8.5348,0.6249,146.68,46.5643,2.3353,1,0.0633,2.7118,2,Submarine,1
6.7251,0.255,115.13,15.2153,0.6891,6,0.1781,-0.9916,0,Fish School,1
5.6884,0.7443,97.86,-89.323,0.0231,1,0.0453,-0.0718,1,Rock/Reef,0
5.4207,0.2705,92.77,41.0747,1.5728,3,0.1697,1.5832,0,Fish School,1
6.5638,0.517,112.2,-40.1814,0.0036,1,0.0271,0.1615,1,Rock/Reef,0
11.4815,0.497,197.11,74.3635,4.6151,1,0.0365,-6.0473,2,Submarine,1
6.5073,0.6902,111.58,-45.0905,4.2049,1,0.0838,-4.8603,2,Submarine,1
9.3538,0.598,160.51,-33.958,0.0135,1,0.0348,0.059,2,Submarine,0
3.3297,0.3917,57.12,-77.8893,2.7088,3,0.1199,3.4443,5,Marine Mammal,1
2.3338,0.622,40.27,-64.025,0.0373,2,0.0968,0.1091,3,Diver,0
7.556,0.5449,130.24,48.6282,0.0343,1,0.0473,0.1978,1,Rock/Reef,0
2.7415,0.285,46.92,-55.5368,0.2352,5,0.2332,0.081,4,Debris,1
7.0126,0.5088,120.39,85.9532,0.0085,3,0.1096,0.0232,3,Diver,0
9.1698,0.6146,157.22,-27.0647,0.02,1,0.0431,-0.0171,1,Rock/Reef,0
5.034,0.7269,85.75,39.4536,6.485,1,0.0653,7.8286,2,Submarine,1
9.3707,0.3026,161.7,41.8229,4.9963,2,0.1211,-5.8944,5,Marine Mammal,1
3.8948,0.6444,66.66,12.7923,0.0229,1,0.0418,-0.0589,1,Rock/Reef,0
7.7892,0.5931,133.88,3.9368,0.0137,1,0.0437,0.1499,2,Submarine,0
6.0794,0.3463,103.56,17.1016,0.0042,5,0.2786,-0.1755,4,Debris,0
4.2445,0.4012,72.51,35.3695,0.8459,5,0.1609,0.983,0,Fish School,1
1.1626,0.4271,20.01,-105.8352,0.5926,6,0.1597,-0.8091,4,Debris,1
7.2779,0.2266,125.36,3.4903,1.1942,7,0.0958,-1.065,0,Fish School,1
4.4818,0.6828,77.53,-33.0725,0.0294,1,0.0459,0.0219,1,Rock/Reef,0
5.4899,0.5589,94.74,-40.765,0.0273,1,0.0537,0.0348,1,Rock/Reef,0
9.9188,0.4873,170.15,-18.3133,0.0044,1,0.0212,-0.1133,1,Rock/Reef,0
8.2927,0.1884,141.84,19.4177,1.9442,7,0.0803,2.1916,0,Fish School,1
4.5275,0.4089,77.92,-25.5486,2.5399,4,0.1285,-3.1887,0,Fish School,1
2.859,0.419,49.26,-61.1818,1.1376,3,0.1455,1.5947,3,Diver,1
5.9713,0.323,102.63,5.764,1.5542,3,0.0992,1.6385,3,Diver,1
5.3505,0.2725,91.5,-12.9145,0.0103,8,0.298,0.1037,4,Debris,0
2.683,0.7236,45.72,-78.4004,1.0884,2,0.0467,-1.2686,5,Marine Mammal,1
1.4957,0.4842,25.94,-0.6363,0.8396,3,0.1576,1.2987,3,Diver,1
9.4352,0.5904,161.68,-10.6049,2.0647,1,0.0345,-2.3368,2,Submarine,1
4.8947,0.2697,83.51,-64.8454,2.0562,5,0.1268,-2.3818,0,Fish School,1
8.4823,0.6144,146.42,72.4795,0.0345,1,0.0469,0.0241,1,Rock/Reef,0
2.8273,0.5135,48.2,-75.0459,2.9221,2,0.0582,3.7923,5,Marine Mammal,1
6.242,0.3047,107.72,92.678,1.7724,2,0.1397,2.4486,3,Diver,1
3.4563,0.4098,60.12,-29.3314,1.0637,3,0.1941,-1.1923,0,Fish School,1
4.8744,0.3807,83.98,33.4639,0.015,6,0.1669,-0.1871,0,Fish School,0
4.5236,0.7285,77.58,-20.6084,0.0036,1,0.0363,0.0478,1,Rock/Reef,0
9.2293,0.4919,158.69,16.8817,0.0212,1,0.0523,-0.1053,1,Rock/Reef,0
7.4651,0.2461,127.46,78.7726,0.0281,3,0.2236,0.1344,4,Debris,0
2.9969,0.6994,50.24,-9.5424,2.9466,3,0.1293,-3.6984,5,Marine Mammal,1
7.5765,0.5188,129.35,26.0058,4.8745,2,0.127,-6.0855,5,Marine Mammal,1
8.7588,0.4025,150.29,43.804,5.2413,2,0.0456,6.0295,5,Marine Mammal,1
10.7365,0.5042,184.47,34.0934,0.02,1,0.0622,0.076,1,Rock/Reef,0
4.402,0.4064,74.24,-68.0908,0.014,4,0.2476,0.1307,4,Debris,0
5.2624,0.2995,89.83,29.3013,2.1619,3,0.1589,-2.4883,0,Fish School,1
6.2224,0.282,107.34,2.744,0.4313,4,0.1921,-0.6395,4,Debris,1
4.1934,0.2806,71.93,-33.8556,2.1347,4,0.1441,2.2318,0,Fish School,1
8.6245,0.5254,147.89,-19.6148,0.02,1,0.0427,-0.1033,1,Rock/Reef,0
10.674,0.5428,183.22,119.2445,0.0113,1,0.046,-0.0812,2,Submarine,0
7.1424,0.666,122.27,18.4358,4.466,1,0.0416,-4.5832,2,Submarine,1
7.8407,0.2805,134.19,43.446,2.8441,2,0.0563,3.326,5,Marine Mammal,1
2.439,0.3843,41.88,-31.9373,0.0096,3,0.1147,-0.1412,5,Marine Mammal,0
2.5604,0.2301,43.51,-85.8752,0.0363,7,0.1158,-0.11,0,Fish School,0
6.7634,0.2974,115.34,64.558,2.6121,7,0.1687,-3.067,0,Fish School,1
3.3719,0.2778,58.03,-73.6744,0.0022,3,0.2315,-0.0869,4,Debris,0
5.1546,0.2884,88.75,-15.3699,1.3282,4,0.1317,-1.5164,3,Diver,1
6.0035,0.3967,103.09,2.8946,3.4585,2,0.0815,4.3838,5,Marine Mammal,1
5.7033,0.3706,98.62,-2.5982,0.8119,4,0.0967,1.3102,0,Fish School,1
7.7727,0.6695,133.63,-25.6858,6.4393,1,0.0398,-7.9408,2,Submarine,1
6.0414,0.2097,104.58,38.1758,1.5152,6,0.1611,-2.1357,0,Fish School,1
3.8958,0.3478,67.02,-56.7089,0.7962,5,0.1936,-0.863,0,Fish School,1
9.6607,0.5438,165.81,51.094,0.003,1,0.0429,-0.0112,1,Rock/Reef,0
2.8941,0.4435,50.08,-77.9251,1.0462,5,0.1711,-1.3414,0,Fish School,1
4.8598,0.4497,83.24,-79.6173,0.0074,3,0.0837,-0.033,5,Marine Mammal,0
4.4335,0.5503,76.16,-42.7405,5.3193,2,0.0657,-6.3313,5,Marine Mammal,1
3.1663,0.2339,54.41,-33.2079,0.0452,7,0.2761,0.01,4,Debris,0
4.5953,0.6899,79.17,-75.115,0.0385,1,0.0583,0.2011,1,Rock/Reef,0
6.1963,0.3465,106.12,68.3193,1.9398,6,0.198,-2.5713,0,Fish School,1
6.3562,0.3014,109.66,59.3123,2.6528,4,0.0948,3.1853,0,Fish School,1
3.4339,0.3714,58.84,-54.5256,1.6264,3,0.1313,-2.0109,3,Diver,1
4.8148,0.7792,82.86,-102.5718,4.6081,1,0.0534,5.5181,2,Submarine,1
8.3224,0.1395,142.46,88.2562,0.019,3,0.2307,0.1735,4,Debris,0
6.8922,0.2576,118.37,94.8016,0.8204,3,0.1399,0.6711,3,Diver,1
4.862,0.7368,83.33,-18.8873,5.1613,1,0.0286,5.8422,2,Submarine,1
5.5581,0.7754,95.79,-21.2814,0.0229,1,0.053,0.1064,1,Rock/Reef,0
9.3705,0.4081,160.45,117.9698,2.9991,2,0.0694,-3.7036,5,Marine Mammal,1
8.4207,0.5918,144.02,-42.2868,0.0052,1,0.0234,0.0651,1,Rock/Reef,0
6.8849,0.4048,118.03,37.2551,0.0022,5,0.2676,-0.1063,4,Debris,0
2.2802,0.4728,38.32,-54.6962,1.8683,3,0.1376,-2.5424,0,Fish School,1
2.1062,0.4805,36.27,-26.7989,2.3009,6,0.0898,2.8272,0,Fish School,1
8.788,0.1581,151.31,43.3318,0.0241,8,0.2177,-0.1742,4,Debris,0
6.4937,0.4347,111.44,52.9863,1.5488,2,0.0907,-1.9599,3,Diver,1
9.7931,0.5092,168.09,63.4849,0.0428,1,0.0619,0.024,1,Rock/Reef,0
8.817,0.31,151.42,91.3921,0.0116,7,0.1592,0.134,4,Debris,0
1.2661,0.2787,21.79,-65.4821,0.0184,7,0.2319,0.2376,4,Debris,0
9.9304,0.3253,170.39,73.0255,2.3939,3,0.1114,-2.7795,5,Marine Mammal,1
4.3389,0.3583,74.09,-46.8778,0.6694,8,0.1618,0.8296,4,Debris,1
5.6155,0.4504,96.07,22.6962,3.6319,3,0.1,-3.8329,5,Marine Mammal,1
6.8153,0.5036,116.91,35.2339,2.8507,3,0.1246,3.3952,5,Marine Mammal,1
9.1958,0.2744,157.11,32.5326,0.1207,7,0.2613,0.6596,4,Debris,1
6.8945,0.1848,117.73,66.0021,0.12,3,0.2236,0.1182,4,Debris,1
4.1481,0.4488,71.67,-9.9588,1.7522,2,0.1213,-2.0613,5,Marine Mammal,1
6.1466,0.6945,106.19,-54.7221,0.0017,1,0.0294,-0.1394,2,Submarine,0
11.6104,0.3734,198.66,57.36,0.0068,1,0.0228,-0.0766,1,Rock/Reef,0
7.2272,0.368,123.99,46.4041,0.0115,2,0.123,-0.0433,5,Marine Mammal,0
2.646,0.3467,45.98,-73.1766,1.2914,7,0.1682,-1.591,0,Fish School,1
2.9778,0.2184,50.48,7.851,2.4424,3,0.1079,2.9546,0,Fish School,1
6.5888,0.7073,112.31,54.287,0.0031,1,0.0433,0.0288,2,Submarine,0
1.6504,0.3955,28.48,-127.7326,0.0104,6,0.1669,-0.2377,4,Debris,0
1.0063,0.5076,16.52,-79.4112,1.517,2,0.1244,2.0442,3,Diver,1
2.8728,0.4318,49.0,5.4107,0.0061,4,0.2387,-0.099,4,Debris,0
2.8226,0.401,48.45,-67.3944,2.3506,3,0.0965,2.4223,0,Fish School,1
3.2255,0.3483,55.3,8.5497,1.6627,3,0.1545,1.8077,3,Diver,1
7.378,0.3729,126.04,14.4338,0.1489,4,0.1037,-0.5907,3,Diver,1
5.6122,0.4246,95.47,5.3475,0.007,3,0.1587,-0.0747,0,Fish School,0
6.7811,0.1081,116.02,-7.3727,0.011,8,0.2835,0.0482,4,Debris,0
6.1288,0.3827,105.35,40.0307,1.9082,7,0.1807,-1.9705,0,Fish School,1
6.2692,0.3979,108.29,18.3467,2.6231,2,0.092,-3.2236,5,Marine Mammal,1
4.2938,0.7852,73.47,-101.2381,0.0059,1,0.0229,-0.1131,2,Submarine,0
4.2112,0.4323,72.47,10.4827,3.9924,2,0.1257,4.8136,5,Marine Mammal,1
4.8714,0.7278,83.9,-114.2627,4.6117,1,0.0616,-5.3549,2,Submarine,1
10.5112,0.4139,180.73,18.7415,0.0142,1,0.0564,-0.1261,1,Rock/Reef,0
10.9342,0.5511,187.78,33.7726,5.2814,1,0.0309,6.1307,2,Submarine,1
7.1964,0.536,123.5,-71.0862,0.0133,1,0.0367,-0.0486,1,Rock/Reef,0
7.0794,0.2272,120.74,85.0944,1.1095,3,0.128,1.6401,0,Fish School,1
4.9035,0.6187,83.86,-88.4139,0.0075,1,0.0592,-0.2471,1,Rock/Reef,0
9.0458,0.1178,155.23,84.3475,0.005,4,0.2251,-0.1204,4,Debris,0
7.6056,0.2239,130.8,38.2159,0.8234,7,0.0847,1.265,0,Fish School,1
7.0515,0.2366,120.85,-10.2392,1.2993,4,0.123,1.4648,0,Fish School,1
2.1183,0.3483,35.63,-20.5261,1.4194,7,0.1112,-1.2585,0,Fish School,1
4.3119,0.7579,74.48,29.5458,6.4234,1,0.075,7.7874,2,Submarine,1
8.8137,0.3385,150.59,-3.7056,3.706,2,0.1165,4.1869,5,Marine Mammal,1
1.085,0.5773,18.87,-27.2849,0.9798,3,0.0749,1.108,3,Diver,1
8.0979,0.2159,139.0,18.1389,1.4872,5,0.1183,-2.174,0,Fish School,1
4.8255,0.2415,82.61,12.3601,0.5628,6,0.1792,0.5624,0,Fish School,1
4.5634,0.5684,78.31,-71.6191,0.0366,1,0.0456,-0.0733,1,Rock/Reef,0
5.9112,0.7355,101.04,52.823,0.0121,1,0.0572,-0.0663,2,Submarine,0
6.026,0.3524,103.11,33.4563,1.5786,2,0.1176,1.6199,5,Marine Mammal,1
4.9556,0.6392,84.12,-52.2929,3.1423,2,0.1033,3.5376,5,Marine Mammal,1
3.3531,0.9038,57.07,-85.8862,0.0226,1,0.0336,-0.1778,2,Submarine,0
7.4705,0.3612,128.36,53.2706,2.9178,7,0.0963,3.6551,0,Fish School,1
8.4527,0.6325,145.13,-5.5924,0.0323,1,0.065,-0.15,1,Rock/Reef,0
4.1104,0.2769,70.36,-36.7005,0.0061,6,0.282,-0.1518,4,Debris,0
6.7575,0.6135,116.02,-77.716,0.0115,1,0.0354,0.0227,1,Rock/Reef,0
6.8669,0.2242,117.42,61.8095,0.823,3,0.1782,0.5877,0,Fish School,1
10.8241,0.5503,185.52,80.8958,5.8447,1,0.027,7.3818,2,Submarine,1
7.9075,0.2761,136.04,47.737,0.0526,5,0.1998,0.0688,4,Debris,0
2.4989,0.4725,42.51,-76.2488,0.0143,4,0.1432,0.1233,3,Diver,0
6.9175,0.4698,118.76,75.5519,2.1244,2,0.0444,2.4052,5,Marine Mammal,1
9.2854,0.3038,159.08,105.4436,0.9239,8,0.2135,-1.1897,4,Debris,1
2.7226,0.5304,46.51,-127.1564,0.0051,2,0.0893,0.1122,5,Marine Mammal,0
2.0869,0.502,34.92,-29.443,0.0425,7,0.1556,-0.0859,4,Debris,1
2.748,0.4245,46.7,5.2728,0.0417,6,0.1573,0.1622,4,Debris,0
8.9113,0.1093,152.82,98.2039,0.0433,5,0.2072,-0.2149,4,Debris,0
5.6335,0.3506,96.77,-34.7119,2.2837,3,0.0851,-2.6458,5,Marine Mammal,1
1.4478,0.4783,25.12,-7.5328,0.0001,2,0.1356,-0.0058,3,Diver,0
8.563,0.4199,147.15,-4.9901,1.5645,2,0.0844,1.6107,5,Marine Mammal,1
4.3918,0.8374,74.85,-29.3265,4.5576,1,0.0766,-5.7674,2,Submarine,1
5.41,0.6214,93.07,-3.4557,0.0064,1,0.0281,0.241,1,Rock/Reef,0
7.0872,0.6259,122.18,-48.0294,0.0143,1,0.0516,0.0244,1,Rock/Reef,0
5.3674,0.6666,92.65,-18.1427,1.8426,3,0.0605,2.1035,5,Marine Mammal,1
5.4002,0.5994,93.11,53.7608,4.0726,2,0.1218,5.4555,5,Marine Mammal,1
7.1924,0.3262,123.59,28.529,3.3071,3,0.0778,3.6232,5,Marine Mammal,1
8.511,0.5284,145.33,59.3138,0.0084,3,0.1241,0.1015,5,Marine Mammal,0
2.9676,0.6582,50.4,-136.637,0.0137,1,0.0653,0.1955,1,Rock/Reef,0
8.6226,0.5595,148.24,83.7844,2.7117,3,0.0862,-3.1731,5,Marine Mammal,1
4.9887,0.7014,85.5,-46.0355,0.0176,1,0.0218,-0.0333,1,Rock/Reef,0
2.1683,0.5197,37.72,-32.9351,0.009,4,0.1193,-0.005,3,Diver,0
1.9122,0.173,33.0,-3.9419,0.8087,8,0.1813,0.6294,4,Debris,1
8.5615,0.5516,146.41,69.7963,0.0165,1,0.0373,-0.1124,1,Rock/Reef,0
8.8763,0.5113,152.96,-13.446,1.6896,3,0.0729,-1.963,5,Marine Mammal,1
10.4398,0.5433,179.04,57.1671,0.0139,1,0.0556,-0.2439,1,Rock/Reef,0
2.3604,0.4694,40.5,10.1027,0.0393,2,0.1444,-0.2952,3,Diver,0
10.2273,0.4366,175.12,35.5518,0.017,1,0.0337,0.0109,1,Rock/Reef,0
3.2072,0.534,54.24,-1.5686,0.9583,4,0.0903,-1.4344,3,Diver,1
8.8403,0.5058,151.83,-30.615,0.0046,1,0.0542,0.1983,1,Rock/Reef,0
5.9602,0.7398,102.27,-0.7629,4.8158,1,0.0306,-5.7208,2,Submarine,1
4.0509,0.3127,69.38,-23.4125,0.0211,4,0.2214,0.0211,4,Debris,0
2.2427,0.6221,38.94,-50.431,2.7073,3,0.089,3.2859,5,Marine Mammal,1
5.3349,0.3558,92.42,19.2744,0.005,3,0.1173,-0.4188,3,Diver,0
7.6726,0.1396,131.38,72.2442,2.9,7,0.1182,4.0377,0,Fish School,1
3.8279,0.7939,66.04,-35.4002,2.1347,1,0.0303,2.67,2,Submarine,1
5.8962,0.2985,101.1,62.545,0.0308,3,0.1132,-0.2278,0,Fish School,0
2.1846,0.3572,37.9,-63.2693,2.7066,3,0.198,3.1699,0,Fish School,1
2.0574,0.4091,35.25,-25.3763,1.6979,4,0.1769,-1.524,3,Diver,1
2.7281,0.4056,47.16,15.3856,2.5769,7,0.1464,-3.3128,0,Fish School,1
3.7238,0.8565,63.53,19.2918,3.0486,1,0.0323,3.4589,2,Submarine,1
8.217,0.4933,141.17,36.7301,2.7238,3,0.1163,-3.3083,5,Marine Mammal,1
3.2759,0.5023,55.4,-31.696,0.5259,6,0.1876,0.2899,4,Debris,1
3.6617,0.7918,63.29,-6.32,0.0776,1,0.087,-0.0284,2,Submarine,0
10.6241,0.5736,181.99,100.513,0.0161,1,0.0317,0.0185,1,Rock/Reef,0
5.134,0.5156,88.1,-25.6849,0.6701,3,0.1263,-0.791,3,Diver,1
5.0101,0.5901,86.32,48.1632,3.0449,3,0.0579,-3.5804,5,Marine Mammal,1
6.3112,0.544,107.86,13.1259,1.8129,2,0.0796,-2.2802,5,Marine Mammal,1
3.3599,0.4605,57.81,42.5309,0.3812,3,0.0657,0.3353,3,Diver,1
9.7428,0.5596,167.46,41.8685,5.5742,1,0.026,-6.861,2,Submarine,1
5.8252,0.4768,99.68,47.8931,0.0072,4,0.1457,-0.0049,3,Diver,0
9.3686,0.564,160.08,41.3919,0.0269,1,0.0336,0.0564,2,Submarine,0
8.4993,0.3906,146.13,8.4154,1.0347,5,0.1624,1.0389,0,Fish School,1
7.7393,0.4374,132.78,1.4597,4.0728,2,0.0548,4.9711,5,Marine Mammal,1
3.4359,0.7542,59.43,-39.4803,0.0249,1,0.061,0.2839,1,Rock/Reef,0
7.7566,0.5298,131.72,-43.5836,0.0049,1,0.0639,-0.0373,1,Rock/Reef,0
3.31,0.4161,57.15,-27.6073,1.6691,4,0.1339,2.2037,0,Fish School,1
6.4631,0.4572,111.08,32.947,2.173,2,0.0485,2.1829,5,Marine Mammal,1
1.8404,0.2292,31.64,-76.4849,1.6461,4,0.0861,-1.738,0,Fish School,1
10.9436,0.564,187.72,75.7449,2.537,1,0.0692,-2.5402,2,Submarine,1
1.7748,0.5684,30.2,-18.8515,0.9283,2,0.1102,1.3053,3,Diver,1
1.7828,0.4292,30.11,-18.402,0.0004,6,0.1052,-0.0694,0,Fish School,0
6.5616,0.3384,112.41,10.7684,1.4073,3,0.0968,1.5757,5,Marine Mammal,1
5.9847,0.4559,103.39,-55.5045,3.6816,2,0.0507,4.6931,5,Marine Mammal,1
6.0164,0.211,103.39,36.286,0.0347,8,0.2775,-0.1542,4,Debris,0
10.8191,0.47,186.32,96.1581,3.8604,1,0.0865,-4.6179,2,Submarine,1
3.0462,0.698,52.22,-12.639,0.0056,1,0.0616,0.0307,1,Rock/Reef,0
7.2103,0.4189,123.74,0.622,0.0058,3,0.173,-0.1715,3,Diver,0
6.2044,0.5572,106.88,69.7208,4.4926,2,0.0721,5.3781,5,Marine Mammal,1
5.8095,0.275,99.93,37.9894,0.2548,6,0.2351,-0.1581,4,Debris,1
8.4333,0.2447,144.61,71.2784,2.8029,7,0.1631,3.3879,0,Fish School,1
5.3367,0.767,91.75,49.3322,4.9505,1,0.0351,-6.1764,2,Submarine,1
2.9723,0.281,50.76,-10.763,2.6217,6,0.1938,-3.1951,0,Fish School,1
6.7615,0.2592,115.79,64.1868,0.0278,3,0.0824,-0.1236,0,Fish School,0
8.9046,0.4156,152.69,114.0766,4.2975,3,0.0778,-5.354,5,Marine Mammal,1
5.2993,0.2114,90.48,14.9493,0.0038,4,0.1466,0.0213,0,Fish School,0
3.7053,0.5037,64.0,-86.2008,3.8185,2,0.0597,-4.5734,5,Marine Mammal,1
2.8329,0.313,48.92,-74.3683,1.6946,4,0.1545,2.3098,3,Diver,1
